date,time,temp,humidity,clouds,visibility,wind_speed,conditions
2025-01-20,06:00,266.87,48,0,10000,3.58,clear sky
2025-01-20,08:00,267.13,50,0,10000,3.1,clear sky
2025-01-20,10:00,269.78,36,0,10000,4.02,clear sky
2025-01-20,12:00,272.08,30,0,10000,3.58,clear sky
2025-01-20,14:00,274.68,23,0,10000,3.13,clear sky
2025-01-20,16:00,275.15,22,100,10000,3.13,overcast clouds
2025-01-20,18:00,273.09,26,100,10000,4.12,overcast clouds
2025-01-20,20:00,272.5,25,100,10000,3.6,overcast clouds
2025-01-20,22:00,271.99,28,100,10000,2.68,overcast clouds
2025-01-21,06:00,270.05,50,75,10000,3.1,broken clouds
2025-01-21,08:00,268.58,63,0,10000,4.02,clear sky
2025-01-21,10:00,271.04,49,0,10000,4.63,clear sky
2025-01-21,12:00,272.86,31,0,10000,4.02,clear sky
2025-01-21,14:00,273.81,20,0,10000,4.47,clear sky
2025-01-21,16:00,273.58,20,0,10000,5.36,clear sky
2025-01-21,18:00,271.39,23,0,10000,0.89,clear sky
2025-01-21,20:00,269.27,29,0,10000,1.54,clear sky
2025-01-21,22:00,268.81,34,0,10000,2.1,clear sky
2025-01-22,06:00,268.18,37,0,10000,3.1,clear sky
2025-01-22,08:00,268.81,39,0,10000,5.7,clear sky
2025-01-22,10:00,272.5,38,0,10000,5.7,clear sky
2025-01-22,12:00,277.58,26,0,10000,5.14,clear sky
2025-01-22,14:00,280.26,26,0,10000,6.2,clear sky
2025-01-22,16:00,281.25,26,0,10000,5.36,clear sky
2025-01-22,18:00,278.05,33,0,10000,2.1,clear sky
2025-01-22,20:00,275.38,39,0,10000,2.1,clear sky
2025-01-22,22:00,274.28,45,0,10000,2.1,clear sky
2025-01-23,06:00,271.87,63,0,10000,3.58,clear sky
2025-01-23,08:00,273.18,55,0,10000,2.24,clear sky
2025-01-23,10:00,279.71,42,0,10000,3.13,clear sky
2025-01-23,12:00,284.47,31,0,10000,3.6,clear sky
2025-01-23,14:00,285.56,26,0,10000,4.02,clear sky
2025-01-23,16:00,284.79,26,0,10000,5.7,clear sky
2025-01-23,18:00,280.73,28,40,10000,2.6,scattered clouds
2025-01-23,20:00,277.95,37,0,10000,3.1,clear sky
2025-01-23,22:00,276.35,48,0,10000,2.6,clear sky
2025-01-24,06:00,269.9,70,0,10000,0,clear sky
2025-01-24,08:00,270.99,65,0,10000,0,clear sky
2025-01-24,10:00,277.24,46,0,10000,3.6,clear sky
2025-01-24,12:00,281.44,35,0,10000,4.63,clear sky
2025-01-24,14:00,284.78,28,0,10000,4.63,clear sky
2025-01-24,16:00,285.85,24,0,10000,5.36,clear sky
2025-01-24,18:00,281.91,31,0,10000,2.6,clear sky
2025-01-24,20:00,280.98,30,0,10000,4.12,clear sky
2025-01-24,22:00,280.38,32,0,10000,4.63,clear sky
2025-01-25,06:00,275.36,56,0,10000,4.63,clear sky
2025-01-25,08:00,275.93,66,0,10000,5.7,clear sky
2025-01-25,10:00,282.45,48,0,10000,6.2,clear sky
2025-01-25,12:00,287.54,35,0,10000,6.71,clear sky
2025-01-25,14:00,290.15,37,20,10000,5.81,few clouds
2025-01-25,16:00,287.5,40,100,10000,5.7,overcast clouds
2025-01-25,18:00,286.91,42,100,10000,4.12,overcast clouds
2025-01-25,20:00,285.07,53,100,10000,5.66,overcast clouds
2025-01-25,22:00,283.07,69,100,10000,3.58,light rain
2025-01-26,06:00,280.77,89,100,4023,2.68,light rain
2025-01-26,08:00,280.77,90,100,8047,3.1,mist
2025-01-26,10:00,281.97,90,100,10000,4.12,light rain
2025-01-26,12:00,282.05,89,100,8047,1.79,light rain
2025-01-26,14:00,282.96,88,100,10000,2.24,light rain
2025-01-26,16:00,282.96,88,100,9656,2.1,light rain
2025-01-26,18:00,282.34,88,100,9656,2.6,mist
2025-01-26,20:00,281.87,90,100,8047,2.68,mist
2025-01-26,22:00,282.24,89,100,3219,2.24,mist
2025-01-27,06:00,280.36,76,100,10000,3.58,overcast clouds
2025-01-27,08:00,280.18,70,100,10000,1.79,overcast clouds
2025-01-27,10:00,281.97,58,100,10000,4.47,overcast clouds
2025-01-27,12:00,285.15,50,40,10000,2.6,scattered clouds
2025-01-27,14:00,286.66,47,0,10000,1.54,clear sky
2025-01-27,16:00,286.25,48,0,10000,2.24,clear sky
2025-01-27,18:00,283.61,59,0,10000,1.54,clear sky
2025-01-27,20:00,280.99,67,0,10000,0,clear sky
2025-01-27,22:00,278.81,75,0,10000,0,clear sky
2025-01-28,06:00,279.27,79,40,10000,0,scattered clouds
2025-01-28,08:00,278.95,85,100,10000,2.24,overcast clouds
2025-01-28,10:00,282.96,69,100,10000,1.79,overcast clouds
2025-01-28,12:00,286.45,50,40,10000,3.58,scattered clouds
2025-01-28,14:00,288.69,44,75,10000,2.24,broken clouds
2025-01-28,16:00,287.96,51,100,10000,3.1,overcast clouds
2025-01-28,18:00,285.89,59,20,10000,2.6,few clouds
2025-01-28,20:00,284.9,68,0,10000,2.1,clear sky
2025-01-28,22:00,283.58,79,0,10000,2.68,clear sky
2025-01-29,06:00,282.86,90,100,6437,0.45,mist
2025-01-29,08:00,282.96,90,100,6437,1.54,mist
2025-01-29,10:00,284.16,85,100,9656,2.24,haze
2025-01-29,12:00,286.25,80,100,10000,2.68,light rain
2025-01-29,14:00,285.77,90,100,4023,2.6,moderate rain
2025-01-29,16:00,286.25,92,100,4828,4.02,light rain
2025-01-29,18:00,286.76,89,100,6437,3.6,moderate rain
2025-01-29,20:00,286.87,91,100,10000,4.12,overcast clouds
2025-01-29,22:00,287.86,89,100,10000,5.14,light rain
2025-01-30,06:00,289.9,90,100,4023,5.7,moderate rain
2025-01-30,08:00,290.92,94,100,10000,6.69,moderate rain
2025-01-30,10:00,292.24,90,100,2816,5.7,heavy intensity rain
2025-01-30,12:00,293.18,88,100,8047,4.63,moderate rain
2025-01-30,14:00,292.96,90,100,6437,5.1,mist
2025-01-30,16:00,292.45,86,100,10000,7.2,moderate rain
2025-01-30,18:00,290.36,77,100,10000,4.63,overcast clouds
2025-01-30,20:00,287.03,90,0,10000,3.1,clear sky
2025-01-30,22:00,286.87,90,0,10000,4.12,clear sky
2025-01-31,06:00,283.81,73,100,10000,3.6,overcast clouds
2025-01-31,08:00,282.96,72,20,10000,4.63,few clouds
2025-01-31,10:00,285.05,59,0,10000,8.49,clear sky
2025-01-31,12:00,287.75,54,0,10000,8.23,clear sky
2025-01-31,14:00,290.56,46,0,10000,8.94,clear sky
2025-01-31,16:00,291.14,45,0,10000,8.05,clear sky
2025-01-31,18:00,289.15,52,0,10000,4.12,clear sky
2025-01-31,20:00,286.35,64,0,10000,3.1,clear sky
2025-01-31,22:00,284.19,70,0,10000,2.1,clear sky
2025-02-01,06:00,277.09,85,0,10000,0,clear sky
